Dấu thời gian,Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học.],Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Các câu hỏi kiểm tra nhanh sau phần giải thích giúp tôi tự đánh giá chính xác mức độ hiểu bài của mình.],"Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Khi câu hỏi của tôi chưa rõ ràng, các câu hỏi làm rõ của AI Tutor phù hợp và giúp tôi diễn đạt đúng vấn đề cần hỏi.]","Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Khi tôi trả lời sai, AI Tutor xác định đúng điểm tôi đang hiểu nhầm và giải thích lại theo cách dễ hiểu hơn.]",Câu trả lời của AI Tutor giúp tôi hiểu rõ nội dung hoặc khái niệm đang học. [Các câu hỏi hoặc nội dung được VLearn gợi ý sau mỗi lượt trao đổi giúp tôi xác định được bước học tiếp theo phù hợp.],Điều gì cần được cải thiện để trải nghiệm học tập với AI Tutor trên VLearn hiệu quả hơn?
30/07/2026 12:09:41,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,
30/07/2026 12:10:01,5 – Hoàn toàn đồng ý.,3 – Trung lập,4 – Đồng ý,1 – Hoàn toàn không đồng ý,4 – Đồng ý,
30/07/2026 12:10:17,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,2 – Không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:10:32,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:10:54,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:11:06,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:11:30,2 – Không đồng ý,2 – Không đồng ý,4 – Đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,Cần các thẻ câu hỏi gợi ý đào sâu (Follow-up chips) cuối mỗi câu để học viên chọn bấm tiếp.
30/07/2026 12:11:41,4 – Đồng ý,1 – Hoàn toàn không đồng ý,4 – Đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:11:55,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:12:15,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,4 – Đồng ý,
30/07/2026 12:12:35,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:12:53,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,5 – Hoàn toàn đồng ý.,3 – Trung lập,AI không tự động phát hiện được nhầm lẫn tư duy cốt lõi của học viên khi chọn sai đáp án.
30/07/2026 12:13:09,5 – Hoàn toàn đồng ý.,3 – Trung lập,4 – Đồng ý,2 – Không đồng ý,4 – Đồng ý,
30/07/2026 12:13:27,2 – Không đồng ý,3 – Trung lập,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:13:40,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,4 – Đồng ý,"AI Tutor chưa chủ động gợi mở cuộc trò chuyện sau khi trả lời xong, làm gián đoạn mạch học tập."
30/07/2026 12:14:05,2 – Không đồng ý,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:14:22,4 – Đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,Cần các thẻ câu hỏi gợi ý đào sâu (Follow-up chips) cuối mỗi câu để học viên chọn bấm tiếp.
30/07/2026 12:14:38,4 – Đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:14:49,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:15:08,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,4 – Đồng ý,
30/07/2026 12:15:26,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,4 – Đồng ý,2 – Không đồng ý,2 – Không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:15:49,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:15:59,4 – Đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,
30/07/2026 12:16:18,5 – Hoàn toàn đồng ý.,4 – Đồng ý,2 – Không đồng ý,5 – Hoàn toàn đồng ý.,4 – Đồng ý,
30/07/2026 12:16:37,4 – Đồng ý,1 – Hoàn toàn không đồng ý,4 – Đồng ý,2 – Không đồng ý,2 – Không đồng ý,
30/07/2026 12:16:58,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:17:19,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,4 – Đồng ý,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:17:32,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,2 – Không đồng ý,
30/07/2026 12:17:45,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,
30/07/2026 12:18:10,4 – Đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,2 – Không đồng ý,5 – Hoàn toàn đồng ý.,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:18:28,4 – Đồng ý,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:18:44,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,Cần các thẻ câu hỏi gợi ý đào sâu (Follow-up chips) cuối mỗi câu để học viên chọn bấm tiếp.
30/07/2026 12:18:57,4 – Đồng ý,2 – Không đồng ý,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:19:20,4 – Đồng ý,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,3 – Trung lập,
30/07/2026 12:19:36,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:19:47,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,1 – Hoàn toàn không đồng ý,Cần các thẻ câu hỏi gợi ý đào sâu (Follow-up chips) cuối mỗi câu để học viên chọn bấm tiếp.
30/07/2026 12:20:07,3 – Trung lập,1 – Hoàn toàn không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,5 – Hoàn toàn đồng ý.,"AI chỉ giải đáp xong là im lặng luôn, tôi phải tự nghĩ câu hỏi tiếp theo khá mất thời gian."
30/07/2026 12:20:21,5 – Hoàn toàn đồng ý.,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,
30/07/2026 12:20:43,4 – Đồng ý,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:21:02,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,5 – Hoàn toàn đồng ý.,3 – Trung lập,
30/07/2026 12:21:17,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,2 – Không đồng ý,
30/07/2026 12:21:35,5 – Hoàn toàn đồng ý.,3 – Trung lập,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:21:55,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:22:14,4 – Đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:22:27,4 – Đồng ý,1 – Hoàn toàn không đồng ý,2 – Không đồng ý,4 – Đồng ý,1 – Hoàn toàn không đồng ý,Cần tính năng kiểm tra hiểu bài (Understanding Check) tự động giao bài Quiz trắc nghiệm hoặc tự luận.
30/07/2026 12:22:50,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:23:06,4 – Đồng ý,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,Cần các thẻ câu hỏi gợi ý đào sâu (Follow-up chips) cuối mỗi câu để học viên chọn bấm tiếp.
30/07/2026 12:23:16,4 – Đồng ý,4 – Đồng ý,4 – Đồng ý,3 – Trung lập,4 – Đồng ý,
30/07/2026 12:23:42,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,2 – Không đồng ý,3 – Trung lập,1 – Hoàn toàn không đồng ý,
30/07/2026 12:23:56,5 – Hoàn toàn đồng ý.,1 – Hoàn toàn không đồng ý,3 – Trung lập,2 – Không đồng ý,1 – Hoàn toàn không đồng ý,
30/07/2026 12:24:17,4 – Đồng ý,3 – Trung lập,4 – Đồng ý,3 – Trung lập,2 – Không đồng ý,Hệ thống hoàn toàn chưa có tính năng Quiz kiểm tra nhanh sau phần giải thích để học viên tự đánh giá.
30/07/2026 12:24:25,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,4 – Đồng ý,1 – Hoàn toàn không đồng ý,"Khi tôi lúng túng chưa biết học tiếp phần nào, AI không gợi ý bước học tiếp theo."
30/07/2026 12:24:45,5 – Hoàn toàn đồng ý.,2 – Không đồng ý,3 – Trung lập,2 – Không đồng ý,2 – Không đồng ý,
