conversation_id,user_id,day_code,turn_count,distinct_moves,review_concept_count,review_concept_rate,all_moves_are_review_concept,has_repeated_review_concept,has_any_check_question,has_any_citation,has_any_misconception,has_any_follow_up,has_down_rating,avg_latency_ms,median_answer_words
C0034,U0118,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,True,True,False,False,False,1544.0,205.0
C0035,U0147,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1776.0,166.0
C0036,U0049,day02-c301,1,1,1,1.0,True,False,False,True,False,False,False,2097.0,199.0
C0037,U0128,Lecture_material_ms4x7dx1_t0qyxg,2,2,1,0.5,False,False,True,True,False,False,False,1765.5,146.0
C0038,U0234,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,False,False,False,False,1640.0,71.0
C0039,U0229,Lecture_material_ms2lb2ke_c1je8j,3,1,3,1.0,True,True,True,True,False,False,False,2024.0,227.0
C0040,U0039,Lecture_material_ms204yc9_gxpg9y,1,1,1,1.0,True,False,False,False,False,False,False,1345.0,73.0
C0041,U0180,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,3054.0,98.0
C0042,U0022,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,False,False,False,False,2133.0,275.0
C0043,U0212,Lecture_material_ms2lb2ke_c1je8j,4,1,4,1.0,True,True,False,True,False,False,False,1745.0,190.0
C0044,U0290,Day 1,3,1,3,1.0,True,True,False,True,False,False,False,5632.33,199.0
C0045,U0067,New learning material,1,1,1,1.0,True,False,True,False,False,False,False,1694.0,33.0
C0046,U0180,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,False,False,False,False,False,1544.0,94.0
C0047,U0003,Lecture_material_ms4ahenz_7cpqa2,4,2,3,0.75,False,True,False,True,False,False,False,1924.5,224.0
C0048,U0144,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1635.0,55.0
C0049,U0108,New learning material,3,1,0,0.0,False,False,False,True,False,False,False,4241.67,110.0
C0050,U0106,Lecture_material_ms2lb2ke_c1je8j,30,1,30,1.0,True,True,True,True,False,False,False,1965.33,242.5
C0051,U0050,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1430.0,48.0
C0052,U0231,New learning material,1,1,1,1.0,True,False,True,False,False,False,False,1584.0,18.0
C0053,U0254,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,False,False,False,False,1543.0,57.5
C0054,U0121,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2951.0,171.0
C0055,U0135,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,False,False,False,False,1602.0,88.0
C0056,U0072,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,False,False,False,False,1469.0,88.0
C0057,U0365,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1610.0,56.0
C0058,U0128,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1786.0,48.0
C0059,U0351,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,True,False,False,False,1599.0,185.0
C0060,U0300,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2028.5,212.0
C0061,U0305,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,5120.0,349.0
C0062,U0329,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,2589.0,353.0
C0063,U0253,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,True,True,False,False,False,1555.0,95.0
C0064,U0207,Lecture_material_ms204i6x_gqwyya,4,1,4,1.0,True,True,True,False,False,False,False,1410.5,40.5
C0065,U0212,Lecture_material_ms204v3b_r9mo78,1,1,1,1.0,True,False,False,True,False,False,False,1705.0,258.0
C0066,U0360,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,True,False,False,False,1613.0,143.0
C0067,U0288,New learning material,1,1,0,0.0,False,False,False,False,False,False,False,4650.0,66.0
C0068,U0114,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2407.0,234.0
C0069,U0304,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,False,False,False,False,False,1617.0,152.0
C0070,U0092,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,4524.0,305.0
C0071,U0188,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1853.0,168.0
C0072,U0132,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1977.0,220.0
C0073,U0095,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,False,False,False,False,False,1765.5,163.0
C0074,U0219,New learning material,3,1,3,1.0,True,True,True,True,False,False,False,2368.67,233.0
C0075,U0281,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,False,False,False,False,False,1388.0,73.0
C0076,U0056,New learning material,1,1,0,0.0,False,False,True,False,False,False,True,5018.0,82.0
C0077,U0277,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,True,False,False,False,False,1470.0,41.0
C0078,U0001,Lecture_material_ms204i6x_gqwyya,1,1,1,1.0,True,False,False,False,False,False,False,1608.0,138.0
C0079,U0298,New learning material,2,2,1,0.5,False,False,False,True,False,False,False,4098.5,170.0
C0080,U0215,day02-c301,2,1,2,1.0,True,True,False,True,False,False,False,1825.5,168.5
C0081,U0280,Lecture_material_ms4x7dx1_t0qyxg,3,1,3,1.0,True,True,False,True,False,False,False,1783.67,236.0
C0082,U0003,Lecture_material_ms2039d0_hnxpxy,1,1,1,1.0,True,False,False,True,False,False,False,1706.0,160.0
C0083,U0270,Lecture_material_ms204i6x_gqwyya,4,1,4,1.0,True,True,True,True,False,False,False,1519.0,144.0
C0084,U0122,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,6366.0,380.0
C0085,U0260,Day1-D302,2,1,2,1.0,True,True,True,False,False,False,False,1526.5,126.0
C0086,U0201,New learning material,1,1,0,0.0,False,False,False,True,False,False,False,4186.0,170.0
C0087,U0261,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,False,False,False,False,2032.0,218.0
C0088,U0270,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,True,False,False,False,1671.0,183.0
C0089,U0357,Lecture_material_ms4x7dx1_t0qyxg,1,1,1,1.0,True,False,True,False,False,False,False,1462.0,153.0
C0090,U0344,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,3173.0,205.0
C0091,U0133,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2095.0,184.0
C0092,U0014,Day 1,1,1,0,0.0,False,False,False,True,False,False,False,3508.0,82.0
C0093,U0358,day02-c301,2,2,1,0.5,False,False,True,False,False,False,False,1733.5,52.5
C0094,U0099,Lecture_material_ms204v3b_r9mo78,2,1,2,1.0,True,True,False,True,False,False,False,1650.5,152.0
C0095,U0191,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2084.0,262.0
C0096,U0274,Lecture_material_ms204v3b_r9mo78,1,1,1,1.0,True,False,False,True,False,False,False,1782.0,229.0
C0097,U0198,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,True,False,False,False,1837.0,232.0
C0098,U0324,New learning material,6,2,1,0.16666666666666666,False,False,True,True,False,False,False,3585.67,102.0
C0099,U0331,Lecture_material_ms2039d0_hnxpxy,1,1,1,1.0,True,False,False,False,False,False,False,1575.0,89.0
C0100,U0089,New learning material,4,1,4,1.0,True,True,False,True,False,False,False,2377.75,181.0
C0101,U0123,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,True,True,False,False,False,1740.0,193.0
C0102,U0234,New learning material,1,1,0,0.0,False,False,False,False,False,False,False,7283.0,69.0
C0103,U0230,day02-c301,1,1,1,1.0,True,False,False,True,False,False,False,1741.0,148.0
C0104,U0066,New learning material,2,1,0,0.0,False,False,False,True,False,False,False,5092.0,160.5
C0105,U0306,Lecture_material_ms2lb2ke_c1je8j,2,1,2,1.0,True,True,False,True,False,False,False,1735.0,203.5
C0106,U0117,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1367.0,61.0
C0107,U0217,New learning material,3,1,3,1.0,True,True,False,True,False,False,False,1915.0,183.0
C0108,U0284,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,True,False,False,False,1695.0,83.0
C0109,U0203,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1585.0,57.0
C0110,U0078,Lecture_material_ms204i6x_gqwyya,4,1,4,1.0,True,True,False,True,False,False,False,1709.5,173.0
C0111,U0213,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,True,False,False,False,False,1460.0,50.0
C0112,U0294,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,False,False,False,False,1458.0,79.0
C0113,U0141,Lecture_material_ms5r18w1_oe5xlz,5,1,5,1.0,True,True,False,True,False,False,True,1673.6,243.0
C0114,U0067,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,True,False,False,False,1673.0,130.0
C0115,U0096,New learning material,2,2,1,0.5,False,False,False,False,False,False,False,1767.0,147.5
C0116,U0066,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,3273.0,227.0
C0117,U0106,day02-c301,2,1,2,1.0,True,True,False,False,False,False,False,2054.0,81.5
C0118,U0012,New learning material,4,1,0,0.0,False,False,False,True,False,False,False,3785.25,94.0
C0119,U0039,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,3551.0,175.0
C0120,U0032,New learning material,1,1,0,0.0,False,False,False,True,False,False,False,4116.0,346.0
C0121,U0034,Day1-C302,4,1,4,1.0,True,True,True,False,False,False,False,1766.75,171.0
C0122,U0022,Lecture_material_ms4ahenz_7cpqa2,2,1,2,1.0,True,True,False,False,False,False,False,1464.5,88.0
C0123,U0106,Lecture_material_ms204v3b_r9mo78,3,1,3,1.0,True,True,False,True,False,False,False,1743.33,176.0
C0124,U0254,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,False,False,False,False,1508.0,62.0
C0125,U0019,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,True,True,False,False,False,1583.0,105.0
C0126,U0105,Lecture_material_ms2044ey_k6uor3,3,1,3,1.0,True,True,True,True,False,False,False,1831.67,201.0
C0127,U0011,Day1-C401,1,1,1,1.0,True,False,False,False,False,False,False,1670.0,79.0
C0128,U0149,Lecture_material_ms2039d0_hnxpxy,13,2,12,0.9230769230769231,False,True,False,False,False,False,False,1486.23,76.0
C0129,U0016,Lecture_material_ms204i6x_gqwyya,1,1,1,1.0,True,False,False,False,False,False,True,1852.0,163.0
C0130,U0072,New learning material,2,2,1,0.5,False,False,True,True,False,False,False,3660.0,110.0
C0131,U0200,Lecture_material_ms2044ey_k6uor3,5,1,5,1.0,True,True,False,True,False,False,False,1823.6,239.0
C0132,U0304,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1474.0,61.0
C0133,U0151,New learning material,7,3,4,0.5714285714285714,False,True,True,True,False,False,False,2217.57,72.0
C0134,U0017,day02-c301,2,1,2,1.0,True,True,False,False,False,False,False,1582.5,80.5
C0135,U0198,New learning material,2,2,1,0.5,False,False,False,True,False,False,False,2055.5,174.5
C0136,U0130,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2567.0,324.0
C0137,U0129,Day1-C302,1,1,1,1.0,True,False,False,True,False,False,False,1435.0,123.0
C0138,U0339,Lecture_material_ms204i6x_gqwyya,1,1,1,1.0,True,False,False,True,False,False,False,1516.0,123.0
C0139,U0353,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2042.0,216.0
C0140,U0216,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,False,False,False,False,1567.0,183.0
C0141,U0023,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1509.0,57.0
C0142,U0079,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1853.0,209.0
C0143,U0197,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1689.0,71.0
C0144,U0334,Lecture_material_ms203vsq_ob7vqp,3,2,2,0.6666666666666666,False,True,True,False,False,False,False,1522.67,73.0
C0145,U0057,Lecture_material_ms4ahenz_7cpqa2,2,1,2,1.0,True,True,False,True,False,False,False,1585.0,107.5
C0146,U0163,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,True,False,False,False,False,1713.0,187.0
C0147,U0300,Lecture_material_ms2044ey_k6uor3,5,1,5,1.0,True,True,True,True,False,False,False,1817.8,229.0
C0148,U0014,New learning material,8,2,6,0.75,False,True,True,False,False,False,False,2270.88,74.0
C0149,U0022,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,3613.0,152.0
C0150,U0287,New learning material,1,1,0,0.0,False,False,False,False,False,False,False,23848.0,122.0
C0151,U0293,Lecture_material_ms4ahenz_7cpqa2,2,1,2,1.0,True,True,False,True,False,False,False,1625.0,99.5
C0152,U0205,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,3776.0,252.0
C0153,U0343,Lecture_material_ms4x7dx1_t0qyxg,1,1,1,1.0,True,False,False,True,False,False,False,1485.0,204.0
C0154,U0024,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,False,False,False,False,False,1441.0,70.0
C0155,U0142,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,False,True,False,False,False,1456.0,147.0
C0156,U0213,Lecture_material_ms5rpr5o_wgl8wy,1,1,1,1.0,True,False,False,True,False,False,False,1491.0,111.0
C0157,U0304,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1489.0,82.0
C0158,U0060,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,5526.0,107.0
C0159,U0322,day02-c301,1,1,1,1.0,True,False,False,True,False,False,False,3838.0,133.0
C0160,U0045,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,True,False,False,False,1607.0,214.0
C0161,U0106,Lecture_material_ms5rpr5o_wgl8wy,6,1,6,1.0,True,True,False,True,False,False,False,1761.83,171.5
C0162,U0171,New learning material,1,1,0,0.0,False,False,True,False,False,False,False,5387.0,92.0
C0163,U0318,Day1-C302,2,1,2,1.0,True,True,False,True,False,False,False,1636.0,178.5
C0164,U0070,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,2116.0,286.0
C0165,U0306,day02-c301,3,1,3,1.0,True,True,False,False,False,False,True,2049.0,186.0
C0166,U0020,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,True,False,False,False,False,1881.0,226.0
C0167,U0340,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1727.0,172.0
C0168,U0362,New learning material,2,1,2,1.0,True,True,False,True,False,False,False,2033.5,184.0
C0169,U0240,Lecture_material_ms2044ey_k6uor3,6,1,6,1.0,True,True,False,True,False,False,False,1843.33,181.5
C0170,U0025,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1949.0,215.0
C0171,U0141,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,True,1922.0,188.0
C0172,U0270,Lecture_material_ms2044ey_k6uor3,18,2,15,0.8333333333333334,False,True,True,True,False,False,False,1649.89,97.5
C0173,U0324,New learning material,3,2,2,0.6666666666666666,False,True,True,True,False,False,False,3053.67,193.0
C0174,U0308,New learning material,3,2,1,0.3333333333333333,False,False,False,True,False,False,False,5290.0,156.0
C0175,U0105,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,True,False,False,False,1647.0,107.0
C0176,U0369,Day1-C302,2,1,2,1.0,True,True,False,True,False,False,False,1552.0,149.0
C0177,U0152,New learning material,1,1,0,0.0,False,False,False,False,False,False,False,5236.0,90.0
C0178,U0299,day02-c301,2,1,2,1.0,True,True,False,False,False,False,False,2285.0,266.5
C0179,U0068,Lecture_material_ms203vsq_ob7vqp,1,1,0,0.0,False,False,True,False,False,False,False,1475.0,68.0
C0180,U0053,Lecture_material_ms2044ey_k6uor3,1,1,0,0.0,False,False,False,True,False,False,False,1660.0,212.0
C0181,U0364,Day1-C401,2,1,2,1.0,True,True,False,True,False,False,False,2632.0,137.5
C0182,U0047,Lecture_material_ms5rpr5o_wgl8wy,2,1,2,1.0,True,True,False,False,False,False,False,1518.5,143.5
C0183,U0116,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2272.0,269.0
C0184,U0058,New learning material,1,1,0,0.0,False,False,False,True,False,False,False,1939.0,154.0
C0185,U0366,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1737.0,128.0
C0186,U0348,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1919.0,112.0
C0187,U0354,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,False,False,False,False,1521.0,64.5
C0188,U0312,Lecture_material_ms4x7dx1_t0qyxg,1,1,0,0.0,False,False,False,False,False,False,False,1529.0,99.0
C0189,U0098,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,True,True,False,False,False,1651.0,157.0
C0190,U0323,Lecture_material_ms5r18w1_oe5xlz,1,1,1,1.0,True,False,False,True,False,False,False,2008.0,273.0
C0191,U0160,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,False,False,False,False,1632.0,171.0
C0192,U0187,Lecture_material_ms4ahenz_7cpqa2,3,1,3,1.0,True,True,False,True,False,False,False,1703.0,107.0
C0193,U0062,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1819.0,223.0
C0194,U0036,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,True,False,False,False,1764.0,162.0
C0195,U0289,Lecture_material_ms2039d0_hnxpxy,1,1,1,1.0,True,False,False,False,False,False,False,1519.0,58.0
C0196,U0128,Lecture_material_ms2044ey_k6uor3,2,1,0,0.0,False,False,False,True,False,False,False,1801.0,267.0
C0197,U0164,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,False,False,False,True,1686.0,129.0
C0198,U0303,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,True,False,False,True,1627.0,154.0
C0199,U0249,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1943.0,186.0
C0200,U0333,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,True,False,False,False,False,1485.0,60.5
C0201,U0260,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,True,False,False,False,True,1397.5,59.5
C0202,U0027,Lecture_material_ms4ahenz_7cpqa2,1,1,1,1.0,True,False,False,True,False,False,False,1550.0,191.0
C0203,U0332,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1889.0,139.0
C0204,U0039,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,4419.0,167.0
C0205,U0038,Lecture_material_ms203vsq_ob7vqp,3,1,3,1.0,True,True,False,True,False,False,False,1595.0,76.0
C0206,U0141,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,False,True,False,False,False,1528.0,101.5
C0207,U0329,Lecture_material_ms2lb2ke_c1je8j,2,1,2,1.0,True,True,False,True,False,False,False,1639.5,201.0
C0208,U0021,Lecture_material_ms2044ey_k6uor3,2,2,1,0.5,False,False,True,False,False,False,False,1476.5,74.5
C0209,U0078,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1712.0,274.0
C0210,U0143,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,False,False,False,False,1594.0,107.0
C0211,U0107,Lecture_material_ms203vsq_ob7vqp,1,1,0,0.0,False,False,True,False,False,False,False,1657.0,96.0
C0212,U0342,Lecture_material_ms2lb2ke_c1je8j,3,1,3,1.0,True,True,False,True,False,False,False,2376.33,243.0
C0213,U0034,day02-c301,1,1,0,0.0,False,False,False,False,False,False,False,1636.0,37.0
C0214,U0318,Lecture_material_ms203vsq_ob7vqp,1,1,1,1.0,True,False,False,False,False,False,False,1502.0,68.0
C0215,U0052,Lecture_material_ms204v3b_r9mo78,3,1,0,0.0,False,False,False,False,False,False,False,1483.67,66.0
C0216,U0075,New learning material,1,1,1,1.0,True,False,True,False,False,False,False,1794.0,102.0
C0217,U0315,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,6159.0,143.0
C0218,U0168,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,False,False,False,False,1413.0,77.0
C0219,U0087,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,False,False,False,False,1726.0,72.0
C0220,U0282,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,False,False,False,False,2159.0,282.0
C0221,U0138,Lecture_material_ms4x7dx1_t0qyxg,1,1,1,1.0,True,False,False,True,False,False,False,1669.0,201.0
C0222,U0356,Lecture_material_ms203vsq_ob7vqp,2,1,2,1.0,True,True,False,True,False,False,False,1808.0,145.0
C0223,U0106,Lecture_material_ms204yc9_gxpg9y,10,1,10,1.0,True,True,False,True,False,False,False,1877.2,174.5
C0224,U0276,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2035.0,167.0
C0225,U0069,Lecture_material_ms2lb2ke_c1je8j,5,1,5,1.0,True,True,True,True,False,False,False,1615.4,52.0
C0226,U0137,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,True,False,False,False,1810.0,272.0
C0227,U0159,New learning material,11,2,4,0.36363636363636365,False,True,False,True,False,False,False,2898.27,139.0
C0228,U0097,Lecture_material_ms203vsq_ob7vqp,3,1,3,1.0,True,True,True,False,False,False,True,1769.0,97.0
C0229,U0350,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,1857.0,185.0
C0230,U0029,Lecture_material_ms204i6x_gqwyya,2,1,2,1.0,True,True,False,True,False,False,False,1766.0,206.5
C0231,U0330,Lecture_material_ms204i6x_gqwyya,7,1,7,1.0,True,True,False,True,False,False,False,1675.29,151.0
C0232,U0105,New learning material,1,1,1,1.0,True,False,False,True,False,False,False,2139.0,203.0
C0233,U0335,day02-c301,1,1,1,1.0,True,False,False,False,False,False,False,1428.0,83.0
C0234,U0059,New learning material,3,1,3,1.0,True,True,True,True,False,False,False,3961.67,297.0
C0235,U0352,Lecture_material_ms2044ey_k6uor3,1,1,1,1.0,True,False,False,False,False,False,False,1479.0,64.0
C0236,U0296,Lecture_material_ms2lb2ke_c1je8j,1,1,1,1.0,True,False,False,True,False,False,False,1749.0,161.0
C0237,U0356,Lecture_material_ms2044ey_k6uor3,3,1,3,1.0,True,True,True,False,False,False,False,1427.67,65.0
C0238,U0156,Lecture_material_ms2044ey_k6uor3,3,2,1,0.3333333333333333,False,False,True,False,False,False,False,1709.0,116.0
C0239,U0014,Day 2,3,1,3,1.0,True,True,False,True,False,False,False,8624.67,92.0
C0240,U0007,Lecture_material_ms2039d0_hnxpxy,1,1,1,1.0,True,False,False,False,False,False,False,1642.0,83.0
C0241,U0255,New learning material,1,1,1,1.0,True,False,True,False,False,False,False,1692.0,49.0
C0242,U0153,Lecture_material_ms204i6x_gqwyya,11,2,10,0.9090909090909091,False,True,True,True,False,False,False,1809.18,221.0
C0243,U0179,Lecture_material_ms4ahenz_7cpqa2,2,1,2,1.0,True,True,False,True,False,False,False,1823.0,213.0
C0244,U0111,New learning material,1,1,1,1.0,True,False,False,False,False,False,False,1802.0,68.0
C0245,U0204,New learning material,4,1,4,1.0,True,True,True,True,False,False,False,2700.75,337.5
C0246,U0348,Lecture_material_ms2lb2ke_c1je8j,2,1,2,1.0,True,True,False,False,False,False,False,2264.5,320.0
C0247,U0031,New learning material,4,2,2,0.5,False,False,False,True,False,False,False,1889.5,228.5
